task,model_id,kind,deployment_role,repeat,seed,fold,threshold,n,positive_n,accuracy,balanced_accuracy,f1,precision,sensitivity,specificity,log_loss,ece_10,auroc,average_precision,tp,fp,tn,fn
any_brar_level_2_3_vs_1,image_plus_age_sex,metadata_sensitivity,allowed metadata sensitivity,3,20260608,4,0.7616063625654483,197,163,0.6192893401015228,0.6535546734031036,0.7232472324723247,0.9074074074074074,0.6012269938650306,0.7058823529411765,0.4478940518086374,0.06077896576752054,0.7029953085528691,0.9266424095241736,98,10,24,65
severe_level_3_vs_1_2,image_plus_downstream_age_sex_upper_bound,upper_bound,non-deployment upper-bound sensitivity,1,20260606,0,0.25270190213861765,198,52,0.5505050505050505,0.6394889357218124,0.49142857142857144,0.34959349593495936,0.8269230769230769,0.4520547945205479,0.5356344301175169,0.0741496983463518,0.7251053740779768,0.47101602793877256,43,80,66,9
any_brar_level_2_3_vs_1,image_plus_downstream_age_sex_upper_bound,upper_bound,non-deployment upper-bound sensitivity,1,20260606,0,0.8204798087386682,198,164,0.6212121212121212,0.7013988522238164,0.7169811320754716,0.9405940594059405,0.5792682926829268,0.8235294117647058,0.3662358828589935,0.054037898971917395,0.8100789096126255,0.9528603626374649,95,6,28,69
severe_level_3_vs_1_2,image_plus_downstream_age_sex_upper_bound,upper_bound,non-deployment upper-bound sensitivity,1,20260606,1,0.334764364934488,198,52,0.6212121212121212,0.5945732349841939,0.42748091603053434,0.35443037974683544,0.5384615384615384,0.6506849315068494,0.5742586831085588,0.08819844185141769,0.6448893572181243,0.42178197261910955,28,51,95,24
any_brar_level_2_3_vs_1,image_plus_downstream_age_sex_upper_bound,upper_bound,non-deployment upper-bound sensitivity,1,20260606,1,0.7671076054139012,198,164,0.7373737373737373,0.7482065997130559,0.821917808219178,0.9375,0.7317073170731707,0.7647058823529411,0.37675863076511795,0.06411249736065962,0.7971664275466284,0.9501128034928729,120,8,26,44
severe_level_3_vs_1_2,image_plus_downstream_age_sex_upper_bound,upper_bound,non-deployment upper-bound sensitivity,1,20260606,2,0.34058042400423266,198,52,0.7171717171717171,0.696786090621707,0.5483870967741935,0.4722222222222222,0.6538461538461539,0.7397260273972602,0.5039882348498327,0.05087467389677645,0.7689673340358272,0.5002220799759708,34,38,108,18
any_brar_level_2_3_vs_1,image_plus_downstream_age_sex_upper_bound,upper_bound,non-deployment upper-bound sensitivity,1,20260606,2,0.670392282071145,198,164,0.7525252525252525,0.7456958393113343,0.835016835016835,0.9323308270676691,0.7560975609756098,0.7352941176470589,0.41454687887281944,0.0837415158293296,0.7889167862266857,0.9353752988947903,124,9,25,40
severe_level_3_vs_1_2,image_plus_downstream_age_sex_upper_bound,upper_bound,non-deployment upper-bound sensitivity,1,20260606,3,0.35874121584317925,197,51,0.7106598984771574,0.6644507117915659,0.5043478260869565,0.453125,0.5686274509803921,0.7602739726027398,0.5413412672460551,0.06173374717348031,0.6856030083266182,0.4882757396269022,29,35,111,22
any_brar_level_2_3_vs_1,image_plus_downstream_age_sex_upper_bound,upper_bound,non-deployment upper-bound sensitivity,1,20260606,3,0.7301640159073848,197,163,0.6649746192893401,0.7277156261277518,0.7573529411764706,0.944954128440367,0.6319018404907976,0.8235294117647058,0.3986892673135519,0.10959967213549361,0.8260555756044748,0.9385924887210557,103,6,28,60
severe_level_3_vs_1_2,image_plus_downstream_age_sex_upper_bound,upper_bound,non-deployment upper-bound sensitivity,1,20260606,4,0.4330012269477225,197,51,0.6903553299492385,0.5997179693795327,0.4077669902912621,0.40384615384615385,0.4117647058823529,0.7876712328767124,0.6267785608410741,0.08354178382630963,0.61778135911899,0.3916787752587343,21,31,115,30
any_brar_level_2_3_vs_1,image_plus_downstream_age_sex_upper_bound,upper_bound,non-deployment upper-bound sensitivity,1,20260606,4,0.8256765886886215,197,163,0.5583756345177665,0.6516600505232768,0.6561264822134387,0.9222222222222223,0.50920245398773,0.7941176470588235,0.46571027188526215,0.1101513041538038,0.6901840490797545,0.91830407822673,83,7,27,80
severe_level_3_vs_1_2,image_plus_downstream_age_sex_upper_bound,upper_bound,non-deployment upper-bound sensitivity,2,20260607,0,0.329850210377605,198,52,0.6616161616161617,0.6591148577449948,0.5037037037037037,0.40963855421686746,0.6538461538461539,0.6643835616438356,0.519442087510384,0.06547647636638905,0.7281348788198103,0.4681031010194725,34,49,97,18
any_brar_level_2_3_vs_1,image_plus_downstream_age_sex_upper_bound,upper_bound,non-deployment upper-bound sensitivity,2,20260607,0,0.7165929680879275,198,164,0.7272727272727273,0.7187948350071736,0.8163265306122449,0.9230769230769231,0.7317073170731707,0.7058823529411765,0.41608004033933654,0.0653154660137435,0.7652439024390244,0.9351490776357447,120,10,24,44
severe_level_3_vs_1_2,image_plus_downstream_age_sex_upper_bound,upper_bound,non-deployment upper-bound sensitivity,2,20260607,1,0.3353342620293138,198,52,0.6464646464646465,0.6116965226554267,0.4444444444444444,0.3783783783783784,0.5384615384615384,0.684931506849315,0.5861110081106887,0.12534430439661878,0.6199947312961012,0.4191775212942997,28,46,100,24
any_brar_level_2_3_vs_1,image_plus_downstream_age_sex_upper_bound,upper_bound,non-deployment upper-bound sensitivity,2,20260607,1,0.7302502335550962,198,164,0.6767676767676768,0.73493543758967,0.7681159420289855,0.9464285714285714,0.6463414634146342,0.8235294117647058,0.3857083226893309,0.09756166056570426,0.8274748923959828,0.952617787152481,106,6,28,58
severe_level_3_vs_1_2,image_plus_downstream_age_sex_upper_bound,upper_bound,non-deployment upper-bound sensitivity,2,20260607,2,0.25311500681251975,198,52,0.5707070707070707,0.6160432033719705,0.46540880503144655,0.34579439252336447,0.7115384615384616,0.5205479452054794,0.5773675734827977,0.07099297751120547,0.6352739726027398,0.4183925963464664,37,70,76,15
any_brar_level_2_3_vs_1,image_plus_downstream_age_sex_upper_bound,upper_bound,non-deployment upper-bound sensitivity,2,20260607,2,0.7093127220032749,198,164,0.7424242424242424,0.7279411764705883,0.8282828282828283,0.924812030075188,0.75,0.7058823529411765,0.4114790114639038,0.08006895520611024,0.7679340028694405,0.9327001765804525,123,10,24,41
severe_level_3_vs_1_2,image_plus_downstream_age_sex_upper_bound,upper_bound,non-deployment upper-bound sensitivity,2,20260607,3,0.29122591803756315,197,51,0.6294416243654822,0.647931775449906,0.48951048951048953,0.3804347826086957,0.6862745098039216,0.6095890410958904,0.5371465103206405,0.1003666524301081,0.7026591458501208,0.43676496843067797,35,57,89,16
any_brar_level_2_3_vs_1,image_plus_downstream_age_sex_upper_bound,upper_bound,non-deployment upper-bound sensitivity,2,20260607,3,0.595849233087656,197,163,0.766497461928934,0.6494045470949116,0.8544303797468354,0.8823529411764706,0.8282208588957055,0.47058823529411764,0.42581721436923187,0.07869129245108474,0.7450378924575966,0.9343255116579806,135,18,16,28
severe_level_3_vs_1_2,image_plus_downstream_age_sex_upper_bound,upper_bound,non-deployment upper-bound sensitivity,2,20260607,4,0.2241460732538378,197,51,0.5025380710659898,0.6133494493687885,0.4673913043478261,0.3233082706766917,0.8431372549019608,0.3835616438356164,0.5376404855677028,0.0882096641026529,0.7030620467365027,0.49339619372606974,43,90,56,8
any_brar_level_2_3_vs_1,image_plus_downstream_age_sex_upper_bound,upper_bound,non-deployment upper-bound sensitivity,2,20260607,4,0.6986505395178986,197,163,0.7360406091370558,0.7473836160230963,0.8206896551724138,0.937007874015748,0.7300613496932515,0.7647058823529411,0.3855802705032658,0.0943332498943427,0.8231685312161675,0.9499730029262947,119,8,26,44
severe_level_3_vs_1_2,image_plus_downstream_age_sex_upper_bound,upper_bound,non-deployment upper-bound sensitivity,3,20260608,0,0.2364398694062509,198,52,0.5202020202020202,0.5879873551106427,0.4444444444444444,0.31932773109243695,0.7307692307692307,0.4452054794520548,0.5717695447208351,0.0772044951931529,0.6419915700737618,0.4128879619572796,38,81,65,14
