model_id,kind,deployment_role,repeat,seed,fold,n,accuracy,balanced_accuracy,macro_f1,ordinal_mae,adjacent_accuracy,two_grade_error_rate,quadratic_weighted_kappa,severe_auroc_from_prob_3
image_efficientnet_b0,image_only,primary image-only baseline,2,20260607,2,198,0.5202020202020202,0.5015621633268692,0.48851931789457304,0.51010101010101,0.9696969696969697,0.030303030303030304,0.36678553234844624,0.6538461538461537
image_efficientnet_b0,image_only,primary image-only baseline,2,20260607,3,197,0.4619289340101523,0.45098039215686275,0.43282163271719015,0.583756345177665,0.9543147208121827,0.04568527918781726,0.27973719658025664,0.7048079505774912
image_efficientnet_b0,image_only,primary image-only baseline,2,20260607,4,197,0.5380710659898477,0.5620915032679739,0.5279143897996357,0.5177664974619289,0.9441624365482234,0.05583756345177665,0.37274034511092846,0.7190437818963201
image_efficientnet_b0,image_only,primary image-only baseline,3,20260608,0,198,0.5151515151515151,0.4917986425339367,0.48279516203880474,0.5202020202020202,0.9646464646464646,0.03535353535353535,0.34370219275879654,0.637118018967334
image_efficientnet_b0,image_only,primary image-only baseline,3,20260608,1,198,0.4898989898989899,0.4666154923507864,0.4561693319278755,0.5404040404040404,0.9696969696969697,0.030303030303030304,0.33180193976518624,0.6770284510010538
image_efficientnet_b0,image_only,primary image-only baseline,3,20260608,2,198,0.5808080808080808,0.5715363068304246,0.5546741249258412,0.4797979797979798,0.9393939393939394,0.06060606060606061,0.3573883161512028,0.7492096944151738
image_efficientnet_b0,image_only,primary image-only baseline,3,20260608,3,197,0.5532994923857868,0.5410247432306255,0.5259722436656201,0.47715736040609136,0.9695431472081218,0.030456852791878174,0.41722482697030594,0.7360999194198227
image_efficientnet_b0,image_only,primary image-only baseline,3,20260608,4,197,0.48223350253807107,0.42547852474323067,0.4235979441458893,0.5685279187817259,0.949238578680203,0.050761421319796954,0.22556435761510507,0.6633091592801503
image_finetuned_efficientnet_b0,image_only,single lightly fine-tuned same-split comparator,1,20260606,0,198,0.5858585858585859,0.5951168929110106,0.5723873757238738,0.4444444444444444,0.9696969696969697,0.030303030303030304,0.4696239151398265,0.7452581664910433
image_finetuned_efficientnet_b0,image_only,single lightly fine-tuned same-split comparator,1,20260606,1,198,0.5,0.5580963154492566,0.49432641432641433,0.5808080808080808,0.9191919191919192,0.08080808080808081,0.33756657107742727,0.696917808219178
image_finetuned_efficientnet_b0,image_only,single lightly fine-tuned same-split comparator,1,20260606,2,198,0.48484848484848486,0.5081609566903684,0.47771476540778685,0.5707070707070707,0.9444444444444444,0.05555555555555555,0.32407828857533005,0.6599051633298209
image_finetuned_efficientnet_b0,image_only,single lightly fine-tuned same-split comparator,1,20260606,3,197,0.4873096446700508,0.5415499533146592,0.4790779790779791,0.5736040609137056,0.9390862944162437,0.06091370558375635,0.35409836065573774,0.6403438087563793
image_finetuned_efficientnet_b0,image_only,single lightly fine-tuned same-split comparator,1,20260606,4,197,0.4720812182741117,0.529936974789916,0.46976780857528494,0.583756345177665,0.9441624365482234,0.05583756345177665,0.3658450621490167,0.7350255170561375
image_finetuned_efficientnet_b0,image_only,single lightly fine-tuned same-split comparator,2,20260607,0,198,0.4696969696969697,0.5128474466709761,0.4635699264809512,0.5858585858585859,0.9444444444444444,0.05555555555555555,0.3439930855661193,0.7579030558482613
image_finetuned_efficientnet_b0,image_only,single lightly fine-tuned same-split comparator,2,20260607,1,198,0.47474747474747475,0.5430537599655246,0.46648740736285194,0.6161616161616161,0.9090909090909091,0.09090909090909091,0.29578606158833065,0.702713382507903
image_finetuned_efficientnet_b0,image_only,single lightly fine-tuned same-split comparator,2,20260607,2,198,0.51010101010101,0.5230419090713209,0.4910705711267509,0.5505050505050505,0.9393939393939394,0.06060606060606061,0.33530213539300313,0.6521338250790306
image_finetuned_efficientnet_b0,image_only,single lightly fine-tuned same-split comparator,2,20260607,3,197,0.43147208121827413,0.48237628384687214,0.43230979034602646,0.6243654822335025,0.9441624365482234,0.05583756345177665,0.3176878060432342,0.7104485629868386
image_finetuned_efficientnet_b0,image_only,single lightly fine-tuned same-split comparator,2,20260607,4,197,0.4873096446700508,0.5175070028011204,0.469543732631492,0.5939086294416244,0.9187817258883249,0.08121827411167512,0.2840207820084396,0.6865431103948428
image_finetuned_efficientnet_b0,image_only,single lightly fine-tuned same-split comparator,3,20260608,0,198,0.51010101010101,0.5743104934281404,0.5108799313144088,0.5454545454545454,0.9444444444444444,0.05555555555555555,0.3976411120471778,0.7156217070600632
image_finetuned_efficientnet_b0,image_only,single lightly fine-tuned same-split comparator,3,20260608,1,198,0.47474747474747475,0.5055618401206637,0.46498237367802586,0.6111111111111112,0.9141414141414141,0.08585858585858586,0.28810020876826725,0.7099578503688092
image_finetuned_efficientnet_b0,image_only,single lightly fine-tuned same-split comparator,3,20260608,2,198,0.5454545454545454,0.5779330963154493,0.5274474639245791,0.5202020202020202,0.9343434343434344,0.06565656565656566,0.36566830576665177,0.7252370916754478
image_finetuned_efficientnet_b0,image_only,single lightly fine-tuned same-split comparator,3,20260608,3,197,0.4720812182741117,0.5100373482726424,0.46140630176586656,0.6040609137055838,0.9238578680203046,0.07614213197969544,0.30674759689190145,0.7434864356701584
image_finetuned_efficientnet_b0,image_only,single lightly fine-tuned same-split comparator,3,20260608,4,197,0.49238578680203043,0.5727124183006536,0.49370884284179084,0.5634517766497462,0.9441624365482234,0.05583756345177665,0.4065324242904709,0.7218640881009939
image_plus_age_sex,metadata_sensitivity,allowed metadata sensitivity,1,20260606,0,198,0.5808080808080808,0.5510531135531136,0.5490689446159484,0.4393939393939394,0.9797979797979798,0.020202020202020204,0.44503451938396177,0.7066649104320336
image_plus_age_sex,metadata_sensitivity,allowed metadata sensitivity,1,20260606,1,198,0.51010101010101,0.4546837965955613,0.45707827119117445,0.5252525252525253,0.9646464646464646,0.03535353535353535,0.2914847161572053,0.6468651211801897
image_plus_age_sex,metadata_sensitivity,allowed metadata sensitivity,1,20260606,2,198,0.5656565656565656,0.5626481361775479,0.5432789432789433,0.46464646464646464,0.9696969696969697,0.030303030303030304,0.4392156862745098,0.7689673340358272
image_plus_age_sex,metadata_sensitivity,allowed metadata sensitivity,1,20260606,3,197,0.6040609137055838,0.582983193277311,0.577647314633616,0.43147208121827413,0.9644670050761421,0.03553299492385787,0.4240616602191182,0.6697555734622616
image_plus_age_sex,metadata_sensitivity,allowed metadata sensitivity,1,20260606,4,197,0.5025380710659898,0.47508169934640526,0.46213469811600655,0.5482233502538071,0.949238578680203,0.050761421319796954,0.2922817850126298,0.7023905452591995
image_plus_age_sex,metadata_sensitivity,allowed metadata sensitivity,2,20260607,0,198,0.5454545454545454,0.5063429217840982,0.5026621850617001,0.4797979797979798,0.9747474747474747,0.025252525252525252,0.3924250394529195,0.7258956796628029
image_plus_age_sex,metadata_sensitivity,allowed metadata sensitivity,2,20260607,1,198,0.5252525252525253,0.5044979530273648,0.49437173022078684,0.5252525252525253,0.9494949494949495,0.050505050505050504,0.30122950819672123,0.6188092729188619
image_plus_age_sex,metadata_sensitivity,allowed metadata sensitivity,2,20260607,2,198,0.51010101010101,0.4546029950441715,0.45457706614911847,0.5202020202020202,0.9696969696969697,0.030303030303030304,0.30760810071154887,0.6325079030558484
image_plus_age_sex,metadata_sensitivity,allowed metadata sensitivity,2,20260607,3,197,0.467005076142132,0.45751633986928103,0.4386953238446167,0.583756345177665,0.949238578680203,0.050761421319796954,0.2753998310764788,0.7080311576685469
