model_id,repeat,seed,fold,task,threshold_source,threshold,n,positive_n,accuracy,balanced_accuracy,f1,precision,sensitivity,specificity,log_loss,ece_10,auroc,average_precision
downstream_plus_age_sex,3,20260608,1,level_1_vs_higher,validation_youden,0.6043771239562288,198,164,0.7575757575757576,0.7720588235294117,0.8367346938775511,0.9461538461538461,0.75,0.7941176470588235,0.4276597895538716,0.08581267022570742,0.8228120516499283,0.9465393806213444
downstream_plus_age_sex,3,20260608,1,level_3_vs_lower,validation_youden,0.42000471,198,52,0.7777777777777778,0.6264488935721813,0.42105263157894735,0.6666666666666666,0.3076923076923077,0.9452054794520548,0.5499520341653034,0.10887924513751364,0.6211801896733404,0.4920682843278804
downstream_plus_age_sex,3,20260608,2,level_1_vs_higher,validation_youden,0.73002166,198,164,0.6565656565656566,0.781025824964132,0.7404580152671756,0.9897959183673469,0.5914634146341463,0.9705882352941176,0.359473764576505,0.09199823722294372,0.9088952654232424,0.9794073566290499
downstream_plus_age_sex,3,20260608,2,level_3_vs_lower,validation_youden,0.3415024,198,52,0.5757575757575758,0.5823234984193888,0.4246575342465753,0.32978723404255317,0.5961538461538461,0.5684931506849316,0.5609523978253477,0.06952310660841973,0.6583245521601686,0.41724946422988096
downstream_plus_age_sex,3,20260608,3,level_1_vs_higher,validation_youden,0.6493832935061671,197,163,0.7411167512690355,0.7271743053049441,0.8271186440677966,0.9242424242424242,0.7484662576687117,0.7058823529411765,0.40398526349493724,0.06910121129683344,0.8053049440635149,0.9490473117112077
downstream_plus_age_sex,3,20260608,3,level_3_vs_lower,validation_youden,0.31426722,197,51,0.4416243654822335,0.5212194466827826,0.3888888888888889,0.2713178294573643,0.6862745098039216,0.3561643835616438,0.6191825624100309,0.07185237620431528,0.5952189094816008,0.3234722355176322
downstream_plus_age_sex,3,20260608,4,level_1_vs_higher,validation_youden,0.58831051,197,163,0.766497461928934,0.7308733309274631,0.847682119205298,0.920863309352518,0.7852760736196319,0.6764705882352942,0.4606392801661418,0.0653371216402477,0.8240707325875135,0.9325073221327704
downstream_plus_age_sex,3,20260608,4,level_3_vs_lower,validation_youden,0.3868925438689254,197,51,0.6903553299492385,0.6124764974482944,0.42990654205607476,0.4107142857142857,0.45098039215686275,0.773972602739726,0.5627972316096285,0.08709084821667774,0.6545796400752082,0.4155576598330101
image_efficientnet_b0_temperature_scaled,1,20260606,0,level_1_vs_higher,validation_youden,0.7803706420626939,198,164,0.6767676767676768,0.6999641319942611,0.7730496453900709,0.923728813559322,0.6646341463414634,0.7352941176470589,0.3781751188701004,0.05485855779756637,0.8009325681492108,0.9488551865990081
image_efficientnet_b0_temperature_scaled,1,20260606,0,level_3_vs_lower,validation_youden,0.27303552124717373,198,52,0.5606060606060606,0.6339567966280295,0.48520710059171596,0.3504273504273504,0.7884615384615384,0.4794520547945205,0.5450409684013229,0.0669904739697378,0.7050842992623814,0.43612253689592045
image_efficientnet_b0_temperature_scaled,1,20260606,1,level_1_vs_higher,validation_youden,0.8032817728445389,198,164,0.7171717171717171,0.7126972740315638,0.8082191780821918,0.921875,0.7195121951219512,0.7058823529411765,0.41062813262795617,0.038424013844718975,0.7582496413199425,0.9351661848815621
image_efficientnet_b0_temperature_scaled,1,20260606,1,level_3_vs_lower,validation_youden,0.28299719875825363,198,52,0.5959595959595959,0.5836406743940991,0.42028985507246375,0.3372093023255814,0.5576923076923077,0.6095890410958904,0.6330414912774628,0.10013285563652413,0.6447576396206534,0.40768583927322766
image_efficientnet_b0_temperature_scaled,1,20260606,2,level_1_vs_higher,validation_youden,0.6988902258243221,198,164,0.6818181818181818,0.7263271162123386,0.7741935483870968,0.9391304347826087,0.6585365853658537,0.7941176470588235,0.4203262534765663,0.07372283982943367,0.7790530846484935,0.9362448574455586
image_efficientnet_b0_temperature_scaled,1,20260606,2,level_3_vs_lower,validation_youden,0.35679910597479325,198,52,0.7272727272727273,0.6974446786090622,0.55,0.4852941176470588,0.6346153846153846,0.7602739726027398,0.5058325816371253,0.04383031200177089,0.7662012644889357,0.5009496468248184
image_efficientnet_b0_temperature_scaled,1,20260606,3,level_1_vs_higher,validation_youden,0.750572867968599,197,163,0.6091370558375635,0.6939732948394082,0.7049808429118773,0.9387755102040817,0.5644171779141104,0.8235294117647058,0.42923947180109756,0.10170457144507924,0.7825694695055937,0.9225441029282817
image_efficientnet_b0_temperature_scaled,1,20260606,3,level_3_vs_lower,validation_youden,0.2548619143408276,197,51,0.5380710659898477,0.5990464679022294,0.4484848484848485,0.32456140350877194,0.7254901960784313,0.4726027397260274,0.5470567058426687,0.06133770078467865,0.6637120601665323,0.4798369496174044
image_efficientnet_b0_temperature_scaled,1,20260606,4,level_1_vs_higher,validation_youden,0.7130776903410582,197,163,0.6598984771573604,0.6548177553229881,0.7632508833922261,0.9,0.6625766871165644,0.6470588235294118,0.42577744232412507,0.048818802690314266,0.7463009743774811,0.938059864242594
image_efficientnet_b0_temperature_scaled,1,20260606,4,level_3_vs_lower,validation_youden,0.4048454151736067,197,51,0.700507614213198,0.6065672844480258,0.4158415841584158,0.42,0.4117647058823529,0.8013698630136986,0.5299077458301222,0.0261626813493363,0.7031963470319634,0.47641026091301103
image_efficientnet_b0_temperature_scaled,2,20260607,0,level_1_vs_higher,validation_youden,0.6981119921109167,198,164,0.7373737373737373,0.7132352941176471,0.825503355704698,0.917910447761194,0.75,0.6764705882352942,0.4227482585386912,0.061049249945150125,0.7544835007173601,0.932686863724781
image_efficientnet_b0_temperature_scaled,2,20260607,0,level_3_vs_lower,validation_youden,0.32962470338222444,198,52,0.6565656565656566,0.6556902002107481,0.5,0.40476190476190477,0.6538461538461539,0.6575342465753424,0.520067735861027,0.046725589711746215,0.7266859852476291,0.45373803752851977
