repeat,seed,fold,eval_split,model,feature_set,true_label,pred_label,count
1,20260606,1,val,multinomial_logistic,image_geometry_file,2,1,33
1,20260606,1,val,multinomial_logistic,image_geometry_file,2,2,39
1,20260606,1,val,multinomial_logistic,image_geometry_file,2,3,40
1,20260606,1,val,multinomial_logistic,image_geometry_file,3,1,13
1,20260606,1,val,multinomial_logistic,image_geometry_file,3,2,20
1,20260606,1,val,multinomial_logistic,image_geometry_file,3,3,19
1,20260606,1,test,multinomial_logistic,image_geometry_file,1,1,11
1,20260606,1,test,multinomial_logistic,image_geometry_file,1,2,11
1,20260606,1,test,multinomial_logistic,image_geometry_file,1,3,12
1,20260606,1,test,multinomial_logistic,image_geometry_file,2,1,32
1,20260606,1,test,multinomial_logistic,image_geometry_file,2,2,35
1,20260606,1,test,multinomial_logistic,image_geometry_file,2,3,45
1,20260606,1,test,multinomial_logistic,image_geometry_file,3,1,19
1,20260606,1,test,multinomial_logistic,image_geometry_file,3,2,11
1,20260606,1,test,multinomial_logistic,image_geometry_file,3,3,22
1,20260606,1,val,multinomial_logistic,admin_index,1,1,7
1,20260606,1,val,multinomial_logistic,admin_index,1,2,5
1,20260606,1,val,multinomial_logistic,admin_index,1,3,22
1,20260606,1,val,multinomial_logistic,admin_index,2,1,60
1,20260606,1,val,multinomial_logistic,admin_index,2,2,4
1,20260606,1,val,multinomial_logistic,admin_index,2,3,48
1,20260606,1,val,multinomial_logistic,admin_index,3,1,28
1,20260606,1,val,multinomial_logistic,admin_index,3,2,0
1,20260606,1,val,multinomial_logistic,admin_index,3,3,24
1,20260606,1,test,multinomial_logistic,admin_index,1,1,9
1,20260606,1,test,multinomial_logistic,admin_index,1,2,7
1,20260606,1,test,multinomial_logistic,admin_index,1,3,18
1,20260606,1,test,multinomial_logistic,admin_index,2,1,69
1,20260606,1,test,multinomial_logistic,admin_index,2,2,0
1,20260606,1,test,multinomial_logistic,admin_index,2,3,43
1,20260606,1,test,multinomial_logistic,admin_index,3,1,25
1,20260606,1,test,multinomial_logistic,admin_index,3,2,2
1,20260606,1,test,multinomial_logistic,admin_index,3,3,25
1,20260606,1,val,multinomial_logistic,age_sex_geometry,1,1,25
1,20260606,1,val,multinomial_logistic,age_sex_geometry,1,2,4
1,20260606,1,val,multinomial_logistic,age_sex_geometry,1,3,5
1,20260606,1,val,multinomial_logistic,age_sex_geometry,2,1,28
1,20260606,1,val,multinomial_logistic,age_sex_geometry,2,2,50
1,20260606,1,val,multinomial_logistic,age_sex_geometry,2,3,34
1,20260606,1,val,multinomial_logistic,age_sex_geometry,3,1,17
1,20260606,1,val,multinomial_logistic,age_sex_geometry,3,2,12
1,20260606,1,val,multinomial_logistic,age_sex_geometry,3,3,23
1,20260606,1,test,multinomial_logistic,age_sex_geometry,1,1,29
1,20260606,1,test,multinomial_logistic,age_sex_geometry,1,2,2
1,20260606,1,test,multinomial_logistic,age_sex_geometry,1,3,3
1,20260606,1,test,multinomial_logistic,age_sex_geometry,2,1,29
1,20260606,1,test,multinomial_logistic,age_sex_geometry,2,2,47
1,20260606,1,test,multinomial_logistic,age_sex_geometry,2,3,36
1,20260606,1,test,multinomial_logistic,age_sex_geometry,3,1,18
1,20260606,1,test,multinomial_logistic,age_sex_geometry,3,2,9
1,20260606,1,test,multinomial_logistic,age_sex_geometry,3,3,25
1,20260606,1,val,multinomial_logistic,downstream_status,1,1,29
1,20260606,1,val,multinomial_logistic,downstream_status,1,2,2
1,20260606,1,val,multinomial_logistic,downstream_status,1,3,3
1,20260606,1,val,multinomial_logistic,downstream_status,2,1,68
1,20260606,1,val,multinomial_logistic,downstream_status,2,2,19
1,20260606,1,val,multinomial_logistic,downstream_status,2,3,25
1,20260606,1,val,multinomial_logistic,downstream_status,3,1,26
1,20260606,1,val,multinomial_logistic,downstream_status,3,2,8
1,20260606,1,val,multinomial_logistic,downstream_status,3,3,18
1,20260606,1,test,multinomial_logistic,downstream_status,1,1,31
1,20260606,1,test,multinomial_logistic,downstream_status,1,2,3
1,20260606,1,test,multinomial_logistic,downstream_status,1,3,0
1,20260606,1,test,multinomial_logistic,downstream_status,2,1,60
1,20260606,1,test,multinomial_logistic,downstream_status,2,2,23
1,20260606,1,test,multinomial_logistic,downstream_status,2,3,29
1,20260606,1,test,multinomial_logistic,downstream_status,3,1,20
1,20260606,1,test,multinomial_logistic,downstream_status,3,2,9
1,20260606,1,test,multinomial_logistic,downstream_status,3,3,23
1,20260606,1,val,multinomial_logistic,downstream_plus_age_sex,1,1,28
1,20260606,1,val,multinomial_logistic,downstream_plus_age_sex,1,2,3
1,20260606,1,val,multinomial_logistic,downstream_plus_age_sex,1,3,3
1,20260606,1,val,multinomial_logistic,downstream_plus_age_sex,2,1,34
1,20260606,1,val,multinomial_logistic,downstream_plus_age_sex,2,2,61
1,20260606,1,val,multinomial_logistic,downstream_plus_age_sex,2,3,17
1,20260606,1,val,multinomial_logistic,downstream_plus_age_sex,3,1,20
1,20260606,1,val,multinomial_logistic,downstream_plus_age_sex,3,2,16
1,20260606,1,val,multinomial_logistic,downstream_plus_age_sex,3,3,16
1,20260606,1,test,multinomial_logistic,downstream_plus_age_sex,1,1,29
1,20260606,1,test,multinomial_logistic,downstream_plus_age_sex,1,2,4
1,20260606,1,test,multinomial_logistic,downstream_plus_age_sex,1,3,1
1,20260606,1,test,multinomial_logistic,downstream_plus_age_sex,2,1,26
1,20260606,1,test,multinomial_logistic,downstream_plus_age_sex,2,2,63
1,20260606,1,test,multinomial_logistic,downstream_plus_age_sex,2,3,23
1,20260606,1,test,multinomial_logistic,downstream_plus_age_sex,3,1,13
1,20260606,1,test,multinomial_logistic,downstream_plus_age_sex,3,2,16
1,20260606,1,test,multinomial_logistic,downstream_plus_age_sex,3,3,23
1,20260606,2,val,majority_class,class_prior,1,1,0
1,20260606,2,val,majority_class,class_prior,1,2,34
1,20260606,2,val,majority_class,class_prior,1,3,0
1,20260606,2,val,majority_class,class_prior,2,1,0
1,20260606,2,val,majority_class,class_prior,2,2,112
1,20260606,2,val,majority_class,class_prior,2,3,0
1,20260606,2,val,majority_class,class_prior,3,1,0
1,20260606,2,val,majority_class,class_prior,3,2,51
1,20260606,2,val,majority_class,class_prior,3,3,0
1,20260606,2,val,stratified_random,class_prior,1,1,8
1,20260606,2,val,stratified_random,class_prior,1,2,16
1,20260606,2,val,stratified_random,class_prior,1,3,10
1,20260606,2,val,stratified_random,class_prior,2,1,22
1,20260606,2,val,stratified_random,class_prior,2,2,63
1,20260606,2,val,stratified_random,class_prior,2,3,27
1,20260606,2,val,stratified_random,class_prior,3,1,8
1,20260606,2,val,stratified_random,class_prior,3,2,31
1,20260606,2,val,stratified_random,class_prior,3,3,12
1,20260606,2,test,majority_class,class_prior,1,1,0
1,20260606,2,test,majority_class,class_prior,1,2,34
1,20260606,2,test,majority_class,class_prior,1,3,0
1,20260606,2,test,majority_class,class_prior,2,1,0
1,20260606,2,test,majority_class,class_prior,2,2,112
1,20260606,2,test,majority_class,class_prior,2,3,0
1,20260606,2,test,majority_class,class_prior,3,1,0
1,20260606,2,test,majority_class,class_prior,3,2,52
1,20260606,2,test,majority_class,class_prior,3,3,0
1,20260606,2,test,stratified_random,class_prior,1,1,9
1,20260606,2,test,stratified_random,class_prior,1,2,21
