repeat,seed,fold,eval_split,model,feature_set,probability_mode,temperature,n,accuracy,balanced_accuracy,macro_f1,precision_1,precision_2,precision_3,recall_1,recall_2,recall_3,f1_1,f1_2,f1_3,brier_score,log_loss,ece_10,ordinal_mae,quadratic_weighted_kappa,ovr_auroc
2,20260607,4,val,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,raw,1.00000000,198,0.50000000,0.45891241,0.45610043,0.37837838,0.59090909,0.39215686,0.41176471,0.58035714,0.38461538,0.39436620,0.58558559,0.38834951,0.73752583,1.43492771,0.30320859,0.53535354,0.30010604,0.67051309
2,20260607,4,val,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,temperature_scaled,3.94407145,198,0.50000000,0.45891241,0.45610043,0.37837838,0.59090909,0.39215686,0.41176471,0.58035714,0.38461538,0.39436620,0.58558559,0.38834951,0.57995015,0.94375870,0.05803800,0.53535354,0.30010604,0.67796982
3,20260608,0,test,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,raw,1.00000000,198,0.52525253,0.49431696,0.49115851,0.44444444,0.60550459,0.41509434,0.47058824,0.58928571,0.42307692,0.45714286,0.59728507,0.41904762,0.78401314,2.02227991,0.35221442,0.50000000,0.36594395,0.65899193
3,20260608,0,test,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,temperature_scaled,4.99997816,198,0.52525253,0.49431696,0.49115851,0.44444444,0.60550459,0.41509434,0.47058824,0.58928571,0.42307692,0.45714286,0.59728507,0.41904762,0.58309403,0.95868754,0.04967325,0.50000000,0.36594395,0.66664320
3,20260608,0,val,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,raw,1.00000000,198,0.46464646,0.41080855,0.41074537,0.33333333,0.56481481,0.34920635,0.26470588,0.54464286,0.42307692,0.29508197,0.55454545,0.38260870,0.87623273,2.25653715,0.39587073,0.57575758,0.23283262,0.62415014
3,20260608,0,val,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,temperature_scaled,4.99997816,198,0.46464646,0.41080855,0.41074537,0.33333333,0.56481481,0.34920635,0.26470588,0.54464286,0.42307692,0.29508197,0.55454545,0.38260870,0.61902933,1.01878069,0.09751444,0.57575758,0.23283262,0.63323236
3,20260608,1,test,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,raw,1.00000000,198,0.49494949,0.47302575,0.46160494,0.34782609,0.58653846,0.43750000,0.47058824,0.54464286,0.40384615,0.40000000,0.56481481,0.42000000,0.64905560,1.07516276,0.16881350,0.53535354,0.34311741,0.65630515
3,20260608,1,test,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,temperature_scaled,1.41171715,198,0.49494949,0.47302575,0.46160494,0.34782609,0.58653846,0.43750000,0.47058824,0.54464286,0.40384615,0.40000000,0.56481481,0.42000000,0.61400779,1.00142547,0.09554413,0.53535354,0.34311741,0.65705794
3,20260608,1,val,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,raw,1.00000000,198,0.58080808,0.55784044,0.54353584,0.44186047,0.71000000,0.45454545,0.55882353,0.63392857,0.48076923,0.49350649,0.66981132,0.46728972,0.53419402,0.87363279,0.09575974,0.48484848,0.32900000,0.75490178
3,20260608,1,val,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,temperature_scaled,1.41171715,198,0.58080808,0.55784044,0.54353584,0.44186047,0.71000000,0.45454545,0.55882353,0.63392857,0.48076923,0.49350649,0.66981132,0.46728972,0.52132437,0.85161593,0.05224473,0.48484848,0.32900000,0.75492481
3,20260608,2,test,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,raw,1.00000000,198,0.58080808,0.56810224,0.55298155,0.48780488,0.70408163,0.44067797,0.58823529,0.61607143,0.50000000,0.53333333,0.65714286,0.46846847,0.50363280,0.83330552,0.09339723,0.47474747,0.36517413,0.77985322
3,20260608,2,test,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,temperature_scaled,2.45753234,198,0.58080808,0.56810224,0.55298155,0.48780488,0.70408163,0.44067797,0.58823529,0.61607143,0.50000000,0.53333333,0.65714286,0.46846847,0.51634627,0.86073771,0.08368744,0.47474747,0.36517413,0.77749103
3,20260608,2,val,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,raw,1.00000000,197,0.55329949,0.50957049,0.50605757,0.42857143,0.64761905,0.45312500,0.35294118,0.60714286,0.56862745,0.38709677,0.62672811,0.50434783,0.62832115,1.10584967,0.16181334,0.48223350,0.36177738,0.67452210
3,20260608,2,val,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,temperature_scaled,2.45753234,197,0.55329949,0.50957049,0.50605757,0.42857143,0.64761905,0.45312500,0.35294118,0.60714286,0.56862745,0.38709677,0.62672811,0.50434783,0.57798507,0.95523195,0.07257934,0.48223350,0.36177738,0.67388617
3,20260608,3,test,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,raw,1.00000000,197,0.55329949,0.55141223,0.53281678,0.50000000,0.66292135,0.44871795,0.44117647,0.52678571,0.68627451,0.46875000,0.58706468,0.54263566,0.60643846,1.05293548,0.16813354,0.47208122,0.44238644,0.70858057
3,20260608,3,test,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,temperature_scaled,2.23554646,197,0.55329949,0.55141223,0.53281678,0.50000000,0.66292135,0.44871795,0.44117647,0.52678571,0.68627451,0.46875000,0.58706468,0.54263566,0.55791816,0.92322548,0.03866105,0.47208122,0.44238644,0.70919576
3,20260608,3,val,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,raw,1.00000000,197,0.52791878,0.47245565,0.47350430,0.44117647,0.61538462,0.36956522,0.44117647,0.64285714,0.33333333,0.44117647,0.62882096,0.35051546,0.63314063,1.06160427,0.16806715,0.51269036,0.28189550,0.66138672
3,20260608,3,val,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,temperature_scaled,2.23554646,197,0.52791878,0.47245565,0.47350430,0.44117647,0.61538462,0.36956522,0.44117647,0.64285714,0.33333333,0.44117647,0.62882096,0.35051546,0.58589444,0.94623357,0.07002469,0.51269036,0.28189550,0.66491890
3,20260608,4,test,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,raw,1.00000000,197,0.49238579,0.41777544,0.41924138,0.26470588,0.59482759,0.40425532,0.26470588,0.61607143,0.37254902,0.26470588,0.60526316,0.38775510,0.75693219,1.58030771,0.30108719,0.55837563,0.20613763,0.63150205
3,20260608,4,test,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,temperature_scaled,2.88086864,197,0.49238579,0.41777544,0.41924138,0.26470588,0.59482759,0.40425532,0.26470588,0.61607143,0.37254902,0.26470588,0.60526316,0.38775510,0.61967039,1.01573745,0.09586544,0.55837563,0.20613763,0.63437590
3,20260608,4,val,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,raw,1.00000000,198,0.61111111,0.57230392,0.57174427,0.52941176,0.69369369,0.49056604,0.52941176,0.68750000,0.50000000,0.52941176,0.69058296,0.49523810,0.59868030,1.18585004,0.19027176,0.42929293,0.40428954,0.71343411
3,20260608,4,val,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,temperature_scaled,2.88086864,198,0.61111111,0.57230392,0.57174427,0.52941176,0.69369369,0.49056604,0.52941176,0.68750000,0.50000000,0.52941176,0.69058296,0.49523810,0.53562626,0.88565843,0.08631470,0.42929293,0.40428954,0.71934168
1,20260606,0,test,frozen_embedding_logistic_sensitivity,image_embedding_plus_downstream_age_sex_upper_bound,raw,1.00000000,198,0.54545455,0.53704751,0.52641933,0.48648649,0.63000000,0.44262295,0.52941176,0.56250000,0.51923077,0.50704225,0.59433962,0.47787611,0.58154678,0.95942250,0.14027977,0.47474747,0.43218623,0.71091652
1,20260606,0,test,frozen_embedding_logistic_sensitivity,image_embedding_plus_downstream_age_sex_upper_bound,temperature_scaled,1.84762670,198,0.54545455,0.53704751,0.52641933,0.48648649,0.63000000,0.44262295,0.52941176,0.56250000,0.51923077,0.50704225,0.59433962,0.47787611,0.55052196,0.89827363,0.06709738,0.47474747,0.43218623,0.71213646
1,20260606,0,val,frozen_embedding_logistic_sensitivity,image_embedding_plus_downstream_age_sex_upper_bound,raw,1.00000000,198,0.54040404,0.51354773,0.51077848,0.48484848,0.62857143,0.41666667,0.47058824,0.58928571,0.48076923,0.47761194,0.60829493,0.44642857,0.60505509,0.97652573,0.17458459,0.48989899,0.37389034,0.69954513
1,20260606,0,val,frozen_embedding_logistic_sensitivity,image_embedding_plus_downstream_age_sex_upper_bound,temperature_scaled,1.84762670,198,0.54040404,0.51354773,0.51077848,0.48484848,0.62857143,0.41666667,0.47058824,0.58928571,0.48076923,0.47761194,0.60829493,0.44642857,0.55627938,0.90146421,0.04404465,0.48989899,0.37389034,0.70239762
1,20260606,1,test,frozen_embedding_logistic_sensitivity,image_embedding_plus_downstream_age_sex_upper_bound,raw,1.00000000,198,0.51515152,0.45422592,0.45977908,0.42307692,0.59482759,0.39285714,0.32352941,0.61607143,0.42307692,0.36666667,0.60526316,0.40740741,0.79644432,2.05982202,0.37436606,0.51515152,0.29865772,0.66926350
1,20260606,1,test,frozen_embedding_logistic_sensitivity,image_embedding_plus_downstream_age_sex_upper_bound,temperature_scaled,4.99996683,198,0.51515152,0.45422592,0.45977908,0.42307692,0.59482759,0.39285714,0.32352941,0.61607143,0.42307692,0.36666667,0.60526316,0.40740741,0.57631926,0.93355675,0.07923472,0.51515152,0.29865772,0.67874036
1,20260606,1,val,frozen_embedding_logistic_sensitivity,image_embedding_plus_downstream_age_sex_upper_bound,raw,1.00000000,198,0.56060606,0.51183743,0.51158964,0.36111111,0.63392857,0.54000000,0.38235294,0.63392857,0.51923077,0.37142857,0.63392857,0.52941176,0.71758123,1.95680864,0.31052980,0.46464646,0.39806867,0.69543055
1,20260606,1,val,frozen_embedding_logistic_sensitivity,image_embedding_plus_downstream_age_sex_upper_bound,temperature_scaled,4.99996683,198,0.56060606,0.51183743,0.51158964,0.36111111,0.63392857,0.54000000,0.38235294,0.63392857,0.51923077,0.37142857,0.63392857,0.52941176,0.56095127,0.93219911,0.07890055,0.46464646,0.39806867,0.69935542
1,20260606,2,test,frozen_embedding_logistic_sensitivity,image_embedding_plus_downstream_age_sex_upper_bound,raw,1.00000000,198,0.56060606,0.55623788,0.53779372,0.43181818,0.65979381,0.49122807,0.55882353,0.57142857,0.53846154,0.48717949,0.61244019,0.51376147,0.56853341,0.95355861,0.12819002,0.46969697,0.43131462,0.72814772
1,20260606,2,test,frozen_embedding_logistic_sensitivity,image_embedding_plus_downstream_age_sex_upper_bound,temperature_scaled,2.02814470,198,0.56060606,0.55623788,0.53779372,0.43181818,0.65979381,0.49122807,0.55882353,0.57142857,0.53846154,0.48717949,0.61244019,0.51376147,0.54989750,0.90384084,0.05761185,0.46969697,0.43131462,0.73029277
1,20260606,2,val,frozen_embedding_logistic_sensitivity,image_embedding_plus_downstream_age_sex_upper_bound,raw,1.00000000,197,0.59390863,0.59780579,0.57812123,0.54761905,0.69387755,0.45614035,0.67647059,0.60714286,0.50980392,0.60526316,0.64761905,0.48148148,0.58347794,1.03323895,0.11200568,0.43654822,0.45979070,0.70197551
1,20260606,2,val,frozen_embedding_logistic_sensitivity,image_embedding_plus_downstream_age_sex_upper_bound,temperature_scaled,2.02814470,197,0.59390863,0.59780579,0.57812123,0.54761905,0.69387755,0.45614035,0.67647059,0.60714286,0.50980392,0.60526316,0.64761905,0.48148148,0.56789247,0.94573789,0.12623864,0.43654822,0.45979070,0.70160353
1,20260606,3,test,frozen_embedding_logistic_sensitivity,image_embedding_plus_downstream_age_sex_upper_bound,raw,1.00000000,197,0.59898477,0.59751401,0.57829699,0.51162791,0.69696970,0.49090909,0.64705882,0.61607143,0.52941176,0.57142857,0.65402844,0.50943396,0.56536267,1.01051065,0.12746485,0.43147208,0.46387790,0.71675042
1,20260606,3,test,frozen_embedding_logistic_sensitivity,image_embedding_plus_downstream_age_sex_upper_bound,temperature_scaled,1.88667074,197,0.59898477,0.59751401,0.57829699,0.51162791,0.69696970,0.49090909,0.64705882,0.61607143,0.52941176,0.57142857,0.65402844,0.50943396,0.55184732,0.93351973,0.08444116,0.43147208,0.46387790,0.71617611
1,20260606,3,val,frozen_embedding_logistic_sensitivity,image_embedding_plus_downstream_age_sex_upper_bound,raw,1.00000000,197,0.54314721,0.52678571,0.51128602,0.35294118,0.64356436,0.53333333,0.52941176,0.58035714,0.47058824,0.42352941,0.61032864,0.50000000,0.61219721,1.00635723,0.16423154,0.49238579,0.39022894,0.69144296
