model_id,repeat,seed,fold,subgroup_type,subgroup,n,accuracy,balanced_accuracy,macro_f1
image_efficientnet_b0_temperature_scaled,3,20260608,3,age_band,age_<35,78,0.5256410256410257,0.5618055555555556,0.5318958836218598
image_efficientnet_b0_temperature_scaled,3,20260608,3,age_band,age_>50,58,0.603448275862069,0.4194139194139194,0.38191438191438193
image_efficientnet_b0_temperature_scaled,3,20260608,4,age_band,age_35_50,62,0.532258064516129,0.4021164021164021,0.4045944678856071
image_efficientnet_b0_temperature_scaled,3,20260608,4,age_band,age_<35,81,0.38271604938271603,0.3366588023817549,0.3315419995158557
image_efficientnet_b0_temperature_scaled,3,20260608,4,age_band,age_>50,54,0.5740740740740741,0.38888888888888884,0.38965693804403484
age_sex,1,20260606,0,gender,gender_0,101,0.44554455445544555,0.5423412698412698,0.4233268356075373
age_sex,1,20260606,0,gender,gender_1,97,0.5979381443298969,0.5248842592592592,0.38725490196078427
age_sex,1,20260606,1,gender,gender_0,94,0.44680851063829785,0.5497435897435897,0.3867529501332318
age_sex,1,20260606,1,gender,gender_1,104,0.625,0.5394524959742352,0.39005439005439
age_sex,1,20260606,2,gender,gender_0,99,0.41414141414141414,0.5459401709401709,0.3670870870870871
age_sex,1,20260606,2,gender,gender_1,99,0.6262626262626263,0.43716931216931215,0.3566748566748566
age_sex,1,20260606,3,gender,gender_0,104,0.34615384615384615,0.4618641659562375,0.31651295564339044
age_sex,1,20260606,3,gender,gender_1,93,0.6881720430107527,0.42424242424242425,0.3979306487695749
age_sex,1,20260606,4,gender,gender_0,105,0.3904761904761905,0.4869007803790413,0.3850681228647657
age_sex,1,20260606,4,gender,gender_1,92,0.6521739130434783,0.5024531024531025,0.4608058608058608
age_sex,2,20260607,0,gender,gender_0,97,0.30927835051546393,0.3996913580246913,0.26851851851851855
age_sex,2,20260607,0,gender,gender_1,101,0.6336633663366337,0.49292929292929294,0.39387244071291794
age_sex,2,20260607,1,gender,gender_0,92,0.4673913043478261,0.5203603603603604,0.4219344962436966
age_sex,2,20260607,1,gender,gender_1,106,0.6698113207547169,0.5437037037037037,0.41075917546505786
age_sex,2,20260607,2,gender,gender_0,103,0.3300970873786408,0.4776811594202899,0.2961240310077519
age_sex,2,20260607,2,gender,gender_1,95,0.5894736842105263,0.4497607655502392,0.3637086513994911
age_sex,2,20260607,3,gender,gender_0,109,0.3944954128440367,0.4993030665073676,0.3835583984837716
age_sex,2,20260607,3,gender,gender_1,88,0.6931818181818182,0.5436781609195402,0.4564102564102564
age_sex,2,20260607,4,gender,gender_0,102,0.43137254901960786,0.5743589743589744,0.3858447488584475
age_sex,2,20260607,4,gender,gender_1,95,0.6,0.45628415300546443,0.3586027499070978
age_sex,3,20260608,0,gender,gender_0,95,0.4,0.5188888888888888,0.35114798379316997
age_sex,3,20260608,0,gender,gender_1,103,0.6504854368932039,0.5646464646464646,0.43780877651845396
age_sex,3,20260608,1,gender,gender_0,105,0.4,0.5133333333333333,0.3556262144497439
age_sex,3,20260608,1,gender,gender_1,93,0.5806451612903226,0.4169653524492234,0.33449074074074076
age_sex,3,20260608,2,gender,gender_0,102,0.4411764705882353,0.52,0.41402375004525543
age_sex,3,20260608,2,gender,gender_1,96,0.6666666666666666,0.5130568356374808,0.41432347993270846
age_sex,3,20260608,3,gender,gender_0,98,0.41836734693877553,0.5114207086343309,0.40442002442002445
age_sex,3,20260608,3,gender,gender_1,99,0.6767676767676768,0.4833284557604136,0.47734018264840183
age_sex,3,20260608,4,gender,gender_0,103,0.4077669902912621,0.5524691358024691,0.3650793650793651
age_sex,3,20260608,4,gender,gender_1,94,0.5319148936170213,0.4039682539682539,0.3053940568475452
