repeat,seed,fold,eval_split,model,encoder,probability_mode,bin,n,confidence_mean,accuracy
1,20260606,1,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.9-1.0,2,0.90860490,0.50000000
1,20260606,2,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.0-0.1,0,0.00000000,0.00000000
1,20260606,2,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.1-0.2,0,0.00000000,0.00000000
1,20260606,2,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.2-0.3,0,0.00000000,0.00000000
1,20260606,2,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.3-0.4,3,0.37137602,0.00000000
1,20260606,2,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.4-0.5,11,0.46250951,0.63636364
1,20260606,2,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.5-0.6,32,0.54914190,0.31250000
1,20260606,2,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.6-0.7,34,0.64689001,0.47058824
1,20260606,2,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.7-0.8,43,0.75849971,0.58139535
1,20260606,2,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.8-0.9,35,0.85151496,0.74285714
1,20260606,2,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.9-1.0,40,0.94646588,0.72500000
1,20260606,2,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.0-0.1,0,0.00000000,0.00000000
1,20260606,2,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.1-0.2,0,0.00000000,0.00000000
1,20260606,2,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.2-0.3,0,0.00000000,0.00000000
1,20260606,2,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.3-0.4,13,0.37482891,0.38461538
1,20260606,2,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.4-0.5,67,0.44880098,0.49253731
1,20260606,2,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.5-0.6,70,0.54736116,0.55714286
1,20260606,2,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.6-0.7,35,0.64489064,0.68571429
1,20260606,2,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.7-0.8,10,0.73439049,1.00000000
1,20260606,2,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.8-0.9,3,0.83977511,0.66666667
1,20260606,2,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.9-1.0,0,0.00000000,0.00000000
1,20260606,2,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.0-0.1,0,0.00000000,0.00000000
1,20260606,2,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.1-0.2,0,0.00000000,0.00000000
1,20260606,2,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.2-0.3,0,0.00000000,0.00000000
