repeat,seed,fold,eval_split,model,encoder,probability_mode,bin,n,confidence_mean,accuracy
1,20260606,2,val,frozen_encoder_logistic,resnet50,temperature_scaled,0.8-0.9,4,0.83841699,0.75000000
1,20260606,2,val,frozen_encoder_logistic,resnet50,temperature_scaled,0.9-1.0,0,0.00000000,0.00000000
1,20260606,3,test,frozen_encoder_logistic,resnet50,raw,0.0-0.1,0,0.00000000,0.00000000
1,20260606,3,test,frozen_encoder_logistic,resnet50,raw,0.1-0.2,0,0.00000000,0.00000000
1,20260606,3,test,frozen_encoder_logistic,resnet50,raw,0.2-0.3,0,0.00000000,0.00000000
1,20260606,3,test,frozen_encoder_logistic,resnet50,raw,0.3-0.4,5,0.37439320,0.40000000
1,20260606,3,test,frozen_encoder_logistic,resnet50,raw,0.4-0.5,24,0.45897735,0.45833333
1,20260606,3,test,frozen_encoder_logistic,resnet50,raw,0.5-0.6,41,0.55006395,0.46341463
1,20260606,3,test,frozen_encoder_logistic,resnet50,raw,0.6-0.7,40,0.65203699,0.62500000
1,20260606,3,test,frozen_encoder_logistic,resnet50,raw,0.7-0.8,32,0.73798323,0.62500000
1,20260606,3,test,frozen_encoder_logistic,resnet50,raw,0.8-0.9,27,0.85611854,0.70370370
1,20260606,3,test,frozen_encoder_logistic,resnet50,raw,0.9-1.0,28,0.94011597,0.64285714
1,20260606,3,test,frozen_encoder_logistic,resnet50,temperature_scaled,0.0-0.1,0,0.00000000,0.00000000
1,20260606,3,test,frozen_encoder_logistic,resnet50,temperature_scaled,0.1-0.2,0,0.00000000,0.00000000
1,20260606,3,test,frozen_encoder_logistic,resnet50,temperature_scaled,0.2-0.3,0,0.00000000,0.00000000
1,20260606,3,test,frozen_encoder_logistic,resnet50,temperature_scaled,0.3-0.4,21,0.37758045,0.38095238
1,20260606,3,test,frozen_encoder_logistic,resnet50,temperature_scaled,0.4-0.5,67,0.45368984,0.52238806
1,20260606,3,test,frozen_encoder_logistic,resnet50,temperature_scaled,0.5-0.6,60,0.53780919,0.63333333
1,20260606,3,test,frozen_encoder_logistic,resnet50,temperature_scaled,0.6-0.7,34,0.64847388,0.67647059
1,20260606,3,test,frozen_encoder_logistic,resnet50,temperature_scaled,0.7-0.8,13,0.74250233,0.76923077
1,20260606,3,test,frozen_encoder_logistic,resnet50,temperature_scaled,0.8-0.9,1,0.82845720,0.00000000
1,20260606,3,test,frozen_encoder_logistic,resnet50,temperature_scaled,0.9-1.0,1,0.91115243,0.00000000
1,20260606,3,val,frozen_encoder_logistic,resnet50,raw,0.0-0.1,0,0.00000000,0.00000000
1,20260606,3,val,frozen_encoder_logistic,resnet50,raw,0.1-0.2,0,0.00000000,0.00000000
1,20260606,3,val,frozen_encoder_logistic,resnet50,raw,0.2-0.3,0,0.00000000,0.00000000
1,20260606,3,val,frozen_encoder_logistic,resnet50,raw,0.3-0.4,3,0.38380605,0.33333333
1,20260606,3,val,frozen_encoder_logistic,resnet50,raw,0.4-0.5,25,0.45915060,0.56000000
1,20260606,3,val,frozen_encoder_logistic,resnet50,raw,0.5-0.6,40,0.54927827,0.57500000
1,20260606,3,val,frozen_encoder_logistic,resnet50,raw,0.6-0.7,43,0.64619127,0.51162791
1,20260606,3,val,frozen_encoder_logistic,resnet50,raw,0.7-0.8,38,0.75453141,0.63157895
1,20260606,3,val,frozen_encoder_logistic,resnet50,raw,0.8-0.9,25,0.85449416,0.60000000
1,20260606,3,val,frozen_encoder_logistic,resnet50,raw,0.9-1.0,23,0.95014568,0.60869565
1,20260606,3,val,frozen_encoder_logistic,resnet50,temperature_scaled,0.0-0.1,0,0.00000000,0.00000000
1,20260606,3,val,frozen_encoder_logistic,resnet50,temperature_scaled,0.1-0.2,0,0.00000000,0.00000000
1,20260606,3,val,frozen_encoder_logistic,resnet50,temperature_scaled,0.2-0.3,0,0.00000000,0.00000000
1,20260606,3,val,frozen_encoder_logistic,resnet50,temperature_scaled,0.3-0.4,17,0.37686454,0.52941176
1,20260606,3,val,frozen_encoder_logistic,resnet50,temperature_scaled,0.4-0.5,78,0.45378322,0.53846154
1,20260606,3,val,frozen_encoder_logistic,resnet50,temperature_scaled,0.5-0.6,59,0.54418394,0.59322034
1,20260606,3,val,frozen_encoder_logistic,resnet50,temperature_scaled,0.6-0.7,25,0.64049214,0.72000000
1,20260606,3,val,frozen_encoder_logistic,resnet50,temperature_scaled,0.7-0.8,14,0.75527971,0.57142857
1,20260606,3,val,frozen_encoder_logistic,resnet50,temperature_scaled,0.8-0.9,4,0.82761891,0.25000000
1,20260606,3,val,frozen_encoder_logistic,resnet50,temperature_scaled,0.9-1.0,0,0.00000000,0.00000000
1,20260606,4,test,frozen_encoder_logistic,resnet50,raw,0.0-0.1,0,0.00000000,0.00000000
1,20260606,4,test,frozen_encoder_logistic,resnet50,raw,0.1-0.2,0,0.00000000,0.00000000
1,20260606,4,test,frozen_encoder_logistic,resnet50,raw,0.2-0.3,0,0.00000000,0.00000000
1,20260606,4,test,frozen_encoder_logistic,resnet50,raw,0.3-0.4,3,0.37533651,0.33333333
1,20260606,4,test,frozen_encoder_logistic,resnet50,raw,0.4-0.5,19,0.45702799,0.52631579
1,20260606,4,test,frozen_encoder_logistic,resnet50,raw,0.5-0.6,45,0.54994450,0.35555556
1,20260606,4,test,frozen_encoder_logistic,resnet50,raw,0.6-0.7,33,0.65252542,0.60606061
1,20260606,4,test,frozen_encoder_logistic,resnet50,raw,0.7-0.8,37,0.75044946,0.67567568
1,20260606,4,test,frozen_encoder_logistic,resnet50,raw,0.8-0.9,30,0.84448552,0.60000000
1,20260606,4,test,frozen_encoder_logistic,resnet50,raw,0.9-1.0,30,0.94102952,0.66666667
