accuracy,balanced_accuracy,ece_10,macro_f1,model_id,model_label,n,ordinal_mae,positive_severe_n,quadratic_weighted_kappa,severe_auroc,severe_balanced_accuracy,severe_sensitivity,severe_specificity,subgroup,subgroup_type
0.5409836065573771,0.516995443962122,0.026936452576734653,0.5049928780671342,image_efficientnet_b0,Whole-image EfficientNet-B0,427,0.49882903981264637,110,0.34636241377814414,0.6960424433610554,0.640966446802409,0.6636363636363637,0.6182965299684543,aspect_mid,aspect_ratio_tertile
0.6008771929824561,0.5584063095513477,0.08907234029065322,0.5589422644145673,image_tile_efficientnet_b0_meanmax,Tile EfficientNet-B0,228,0.4166666666666667,55,0.46314923189465984,0.7383079348397268,0.6401996847083552,0.5636363636363636,0.7167630057803468,aspect_high,aspect_ratio_tertile
0.5555555555555556,0.5068854933031504,0.04444962489075524,0.5086637431639307,image_tile_efficientnet_b0_meanmax,Tile EfficientNet-B0,333,0.4984984984984985,93,0.29250283983339653,0.6698476702508961,0.6224462365591399,0.5698924731182796,0.675,aspect_low,aspect_ratio_tertile
0.6065573770491803,0.5833404467207284,0.07468092882741542,0.5740452786245162,image_tile_efficientnet_b0_meanmax,Tile EfficientNet-B0,427,0.41920374707259955,110,0.44928680051589065,0.7267278462862059,0.6461714941210209,0.5636363636363636,0.7287066246056783,aspect_mid,aspect_ratio_tertile
0.5106382978723404,0.5413332361390094,0.08542859926513932,0.4901390763756354,age_sex,Age/sex guardrail,329,0.6170212765957447,92,0.22204279370205893,0.5681297009722986,0.6045450376077784,0.29347826086956524,0.9156118143459916,file_size_large,file_size_tertile
0.48328267477203646,0.5584250205616476,0.024442560942891243,0.4697575526783448,age_sex,Age/sex guardrail,329,0.5927051671732523,69,0.31513658184289906,0.6451783723522854,0.5833890746934225,0.2898550724637681,0.8769230769230769,file_size_mid,file_size_tertile
0.5454545454545454,0.5410538373424972,0.0728041361206365,0.4833503559696754,age_sex,Age/sex guardrail,330,0.5454545454545454,97,0.22853636204243044,0.5426751028715544,0.5434272819786735,0.18556701030927836,0.9012875536480687,file_size_small,file_size_tertile
0.5349544072948328,0.5075541588371238,0.01627856401556234,0.5060296643247463,image_efficientnet_b0,Whole-image EfficientNet-B0,329,0.49848024316109424,92,0.3859599831423468,0.7446340121078702,0.671505228398459,0.6847826086956522,0.6582278481012658,file_size_large,file_size_tertile
0.547112462006079,0.5277518083862193,0.05108232071150414,0.5077805077805079,image_efficientnet_b0,Whole-image EfficientNet-B0,329,0.47416413373860183,69,0.40115208360101073,0.7282608695652174,0.6389632107023411,0.6086956521739131,0.6692307692307692,file_size_mid,file_size_tertile
0.5424242424242425,0.4956235329465007,0.03689450384047348,0.4966066914213895,image_efficientnet_b0,Whole-image EfficientNet-B0,330,0.5,97,0.29972512369433757,0.6439538073536569,0.6019866377593912,0.6288659793814433,0.575107296137339,file_size_small,file_size_tertile
0.5805471124620061,0.5305514157973175,0.06017939759973805,0.5357659402348443,image_tile_efficientnet_b0_meanmax,Tile EfficientNet-B0,329,0.47112462006079026,92,0.34706456795438556,0.7297284901852871,0.6557741698770867,0.6195652173913043,0.6919831223628692,file_size_large,file_size_tertile
0.5805471124620061,0.545993931105954,0.06071980638859183,0.5346277323021509,image_tile_efficientnet_b0_meanmax,Tile EfficientNet-B0,329,0.43465045592705165,69,0.43479041983404265,0.7494983277591973,0.667809364548495,0.6086956521739131,0.7269230769230769,file_size_mid,file_size_tertile
0.603030303030303,0.5853503089027848,0.0499035562416087,0.5731510884452061,image_tile_efficientnet_b0_meanmax,Tile EfficientNet-B0,330,0.4303030303030303,97,0.4166972041990903,0.6591301269855316,0.5941993717092164,0.4845360824742268,0.703862660944206,file_size_small,file_size_tertile
