repeat,seed,fold,eval_split,model,encoder,probability_mode,bin,n,confidence_mean,accuracy
1,20260606,4,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.8-0.9,5,0.83125373,0.60000000
1,20260606,4,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.9-1.0,2,0.92875623,1.00000000
2,20260607,0,test,frozen_encoder_logistic,efficientnet_b0,raw,0.0-0.1,0,0.00000000,0.00000000
2,20260607,0,test,frozen_encoder_logistic,efficientnet_b0,raw,0.1-0.2,0,0.00000000,0.00000000
2,20260607,0,test,frozen_encoder_logistic,efficientnet_b0,raw,0.2-0.3,0,0.00000000,0.00000000
2,20260607,0,test,frozen_encoder_logistic,efficientnet_b0,raw,0.3-0.4,5,0.37956313,1.00000000
2,20260607,0,test,frozen_encoder_logistic,efficientnet_b0,raw,0.4-0.5,22,0.44167270,0.40909091
2,20260607,0,test,frozen_encoder_logistic,efficientnet_b0,raw,0.5-0.6,36,0.55829604,0.41666667
2,20260607,0,test,frozen_encoder_logistic,efficientnet_b0,raw,0.6-0.7,41,0.64934302,0.51219512
2,20260607,0,test,frozen_encoder_logistic,efficientnet_b0,raw,0.7-0.8,39,0.74000812,0.64102564
2,20260607,0,test,frozen_encoder_logistic,efficientnet_b0,raw,0.8-0.9,32,0.85030995,0.56250000
2,20260607,0,test,frozen_encoder_logistic,efficientnet_b0,raw,0.9-1.0,23,0.94797658,0.65217391
2,20260607,0,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.0-0.1,0,0.00000000,0.00000000
2,20260607,0,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.1-0.2,0,0.00000000,0.00000000
2,20260607,0,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.2-0.3,0,0.00000000,0.00000000
2,20260607,0,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.3-0.4,21,0.37252977,0.61904762
2,20260607,0,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.4-0.5,69,0.45593481,0.40579710
2,20260607,0,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.5-0.6,66,0.54984804,0.59090909
2,20260607,0,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.6-0.7,25,0.64298205,0.68000000
2,20260607,0,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.7-0.8,16,0.74404995,0.68750000
2,20260607,0,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.8-0.9,1,0.82200298,0.00000000
2,20260607,0,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.9-1.0,0,0.00000000,0.00000000
2,20260607,0,val,frozen_encoder_logistic,efficientnet_b0,raw,0.0-0.1,0,0.00000000,0.00000000
2,20260607,0,val,frozen_encoder_logistic,efficientnet_b0,raw,0.1-0.2,0,0.00000000,0.00000000
2,20260607,0,val,frozen_encoder_logistic,efficientnet_b0,raw,0.2-0.3,0,0.00000000,0.00000000
2,20260607,0,val,frozen_encoder_logistic,efficientnet_b0,raw,0.3-0.4,3,0.38647061,0.00000000
2,20260607,0,val,frozen_encoder_logistic,efficientnet_b0,raw,0.4-0.5,30,0.45365249,0.46666667
2,20260607,0,val,frozen_encoder_logistic,efficientnet_b0,raw,0.5-0.6,41,0.55345595,0.39024390
2,20260607,0,val,frozen_encoder_logistic,efficientnet_b0,raw,0.6-0.7,37,0.65047861,0.43243243
2,20260607,0,val,frozen_encoder_logistic,efficientnet_b0,raw,0.7-0.8,20,0.75337888,0.70000000
2,20260607,0,val,frozen_encoder_logistic,efficientnet_b0,raw,0.8-0.9,37,0.84933400,0.67567568
2,20260607,0,val,frozen_encoder_logistic,efficientnet_b0,raw,0.9-1.0,30,0.94427463,0.60000000
2,20260607,0,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.0-0.1,0,0.00000000,0.00000000
2,20260607,0,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.1-0.2,0,0.00000000,0.00000000
2,20260607,0,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.2-0.3,0,0.00000000,0.00000000
2,20260607,0,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.3-0.4,23,0.37737375,0.34782609
2,20260607,0,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.4-0.5,79,0.45401842,0.40506329
2,20260607,0,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.5-0.6,41,0.55225731,0.65853659
